# our_gap_ms badpass_delta_ms is_proxied
101.203 108.106 1
101.895 105.118 1
204.217 216.236 1
101.293 105.867 1
350.025 357.895 1
237.02 325.623 1
104.909 141.777 1
102.015 106.161 1
250.684 251.491 1
101.779 165.484 1
283.045 508.063 1
102.642 137.35 1
100.44 123.206 1
232.381 263.541 1
101.375 134.562 1
275.54 269.399 1
104.292 127.505 1
283.087 503.54 1
103.32 105.781 1
114.905 107.361 1
272.4 279.752 1
412.328 417.501 1
102.687 130.389 1
103.537 119.111 1
106.452 147.26 1
243.874 268.281 1
257.566 265.709 1
349.518 353.708 1
103.349 108.108 1
100.544 106.752 1
101.303 123.813 1
0.0 2332.534 1
305.976 292.839 1
117.68 161.34 1
330.58 362.822 1
125.332 96.789 1
119.392 103.807 1
99.759 136.636 1
320.102 244.262 1
114.046 122.411 1
99.808 109.452 1
159.999 390.694 1
294.898 315.696 1
101.218 121.782 1
110.19 255.231 1
132.058 114.709 1
286.285 288.613 1
269.032 267.147 1
273.944 278.449 1
110.992 123.813 1
113.961 117.952 1
131.964 107.332 1
328.445 372.8 1
302.52 307.536 1
106.568 157.513 1
113.902 105.779 1
101.941 107.386 1
164.294 399.683 1
102.096 107.42 1
148.654 403.898 1
381.228 765.527 1
105.753 108.012 1
101.043 107.285 1
253.031 255.684 1
108.012 105.919 1
101.244 105.893 1
102.693 106.565 1
290.927 283.063 1
259.871 401.849 1
144.722 138.844 1
100.536 120.687 1
95.639 100.962 1
318.945 319.755 1
252.949 272.338 1
101.214 106.691 1
279.76 283.045 1
101.88 105.839 1
99.652 116.357 1
288.487 142.734 1
101.254 120.903 1
101.971 106.004 1
0.0 63.836 1
100.612 105.848 1
259.547 264.145 1
117.798 120.248 1
117.39 136.589 1
102.661 117.866 1
266.371 262.744 1
103.491 107.221 1
105.978 110.461 1
100.492 118.691 1
287.714 266.319 1
101.194 105.744 1
156.631 105.149 1
147.596 444.112 1
98.547 169.354 1
101.242 243.78 1
101.202 122.32 1
278.187 253.032 1
100.504 108.263 1
101.965 108.141 1
114.043 144.681 1
100.424 134.509 1
488.003 269.383 1
101.898 106.741 1
154.198 404.157 1
101.871 128.879 1
102.06 104.668 1
101.957 120.826 1
416.346 326.304 1
135.124 230.873 1
279.422 278.639 1
535.148 1129.182 1
134.75 184.677 1
134.766 152.93 1
134.069 138.284 1
249.142 300.834 1
214.821 145.511 1
134.262 138.13 1
134.241 147.644 1
133.875 166.624 1
218.843 276.922 1
0.0 56.199 1
100.364 104.402 1
134.463 140.04 1
134.617 144.269 1
134.835 146.478 1
167.045 128.306 1
92.036 111.313 1
135.556 152.922 1
135.102 208.075 1
133.715 154.4 1
94.947 128.392 1
913.481 273.25 1
104.76 116.092 1
135.765 150.22 1
146.463 164.216 1
135.795 139.094 1
270.191 303.054 1
137.91 93.724 1
134.916 167.518 1
390.531 512.936 1
228.292 206.447 1
138.314 138.491 1
416.382 481.601 1
134.554 166.648 1
134.81 207.458 1
135.813 139.976 1
108.598 114.352 1
95.045 92.561 1
137.233 139.093 1
294.338 379.377 1
134.296 174.278 1
134.347 170.986 1
117.086 124.347 0
17.866 149.102 1
133.837 138.026 0
134.069 138.935 1
244.49 252.9 0
109.001 122.622 1
184.059 148.346 0
