threshold_ms,fpr,tpr,j
78.5,0.0,0.6163450624290578,0.6163450624290578
79.0,0.0,0.6152099886492622,0.6152099886492622
79.5,0.0,0.6152099886492622,0.6152099886492622
80.0,0.0,0.6152099886492622,0.6152099886492622
80.5,0.0,0.6152099886492622,0.6152099886492622
81.0,0.0,0.6152099886492622,0.6152099886492622
81.5,0.0,0.6152099886492622,0.6152099886492622
82.0,0.0,0.6152099886492622,0.6152099886492622
82.5,0.0,0.6140749148694665,0.6140749148694665
83.0,0.0,0.6140749148694665,0.6140749148694665
83.5,0.0,0.6140749148694665,0.6140749148694665
84.0,0.0,0.6140749148694665,0.6140749148694665
84.5,0.0,0.6140749148694665,0.6140749148694665
85.0,0.0,0.6140749148694665,0.6140749148694665
85.5,0.0,0.6140749148694665,0.6140749148694665
86.0,0.0,0.6140749148694665,0.6140749148694665
86.5,0.0,0.6129398410896708,0.6129398410896708
87.0,0.0,0.6129398410896708,0.6129398410896708
87.5,0.0,0.6118047673098751,0.6118047673098751
88.0,0.0,0.6118047673098751,0.6118047673098751
88.5,0.0,0.6106696935300795,0.6106696935300795
89.0,0.0,0.6106696935300795,0.6106696935300795
89.5,0.0,0.6106696935300795,0.6106696935300795
90.0,0.0,0.6106696935300795,0.6106696935300795
90.5,0.0,0.6106696935300795,0.6106696935300795
91.0,0.0,0.6106696935300795,0.6106696935300795
91.5,0.0,0.6106696935300795,0.6106696935300795
92.0,0.0,0.6106696935300795,0.6106696935300795
92.5,0.0,0.6106696935300795,0.6106696935300795
93.0,0.0,0.6106696935300795,0.6106696935300795
93.5,0.0,0.6106696935300795,0.6106696935300795
94.0,0.0,0.6095346197502838,0.6095346197502838
94.5,0.0,0.6083995459704881,0.6083995459704881
95.0,0.0,0.6061293984108967,0.6061293984108967
95.5,0.0,0.6038592508513053,0.6038592508513053
96.0,0.0,0.6027241770715096,0.6027241770715096
96.5,0.0,0.601589103291714,0.601589103291714
97.0,0.0,0.6004540295119183,0.6004540295119183
97.5,0.0,0.5993189557321226,0.5993189557321226
98.0,0.0,0.5993189557321226,0.5993189557321226
98.5,0.0,0.5981838819523269,0.5981838819523269
99.0,0.0,0.5959137343927355,0.5959137343927355
99.5,0.0,0.5947786606129398,0.5947786606129398
100.0,0.0,0.5902383654937571,0.5902383654937571
100.5,0.0,0.5902383654937571,0.5902383654937571
101.0,0.0,0.5891032917139614,0.5891032917139614
101.5,0.0,0.5879682179341658,0.5879682179341658
102.0,0.0,0.58683314415437,0.58683314415437
102.5,0.0,0.5856980703745743,0.5856980703745743
103.0,0.0,0.5845629965947786,0.5845629965947786
103.5,0.0,0.5822928490351873,0.5822928490351873
104.0,0.0,0.5822928490351873,0.5822928490351873
104.5,0.0,0.5754824063564131,0.5754824063564131
105.0,0.0,0.5743473325766175,0.5743473325766175
105.5,0.0,0.5732122587968218,0.5732122587968218
106.0,0.0,0.5709421112372304,0.5709421112372304
106.5,0.0,0.5675368898978433,0.5675368898978433
