t_rel,traffic_type,gap_ms,tcp_rtt_ms,syn_ttl
,scope_squid,3.848,145.563,57
,scope_squid,2.654,145.621,57
,scope_squid,4.024,143.755,57
,scope_labproxy,2.604,151.801,55
,scope_labproxy,2.68,146.484,57
,scope_labproxy,2.635,146.387,57
,scope_labproxy,2.71,149.633,53
,scope_labproxy,3.347,143.175,57
,scope_labproxy,2.631,147.469,57
,scope_labproxy,3.122,142.833,57
,scope_labproxy,4.39,145.553,53
,scope_labproxy,4.142,142.781,55
,scope_labproxy,2.954,148.332,57
,scope_labproxy,2.429,146.018,57
,scope_labproxy,3.137,145.685,53
,scope_labproxy,3.712,143.703,57
,scope_labproxy,2.472,148.976,57
,scope_labproxy,2.462,149.244,55
,scope_labproxy,5.083,147.252,57
,scope_labproxy,2.647,147.008,57
,scope_labproxy,2.644,144.765,57
,scope_labproxy,2.546,145.309,57
,scope_labproxy,2.55,148.056,57
,scope_labproxy,4.056,152.712,57
,scope_labproxy,2.85,142.569,53
,scope_labproxy,2.484,143.814,57
,scope_labproxy,2.832,143.644,53
,scope_labproxy,3.564,147.964,57
,scope_labproxy,2.723,152.06,57
,scope_labproxy,3.476,146.132,57
,scope_labproxy,6.449,149.698,57
,scope_labproxy,4.512,142.394,57
,scope_labproxy,3.189,148.905,57
,scope_labproxy,3.328,150.381,57
,scope_labproxy,3.575,146.524,57
,scope_labproxy,2.583,145.66,57
,scope_labproxy,2.53,149.201,57
,scope_labproxy,4.014,151.823,57
,scope_labproxy,4.726,152.492,57
,scope_labproxy,2.975,145.082,51
,scope_labproxy,2.469,148.755,57
,scope_labproxy,2.682,145.894,53
,scope_labproxy,4.419,145.179,57
,scope_labproxy,3.871,152.006,53
,scope_labproxy,2.527,148.507,53
,scope_labproxy,3.421,146.81,53
,scope_labproxy,2.696,147.681,57
,scope_labproxy,3.94,143.354,57
,scope_labproxy,4.332,143.132,53
,scope_labproxy,2.592,145.024,53
,scope_labproxy,2.731,145.482,57
,scope_labproxy,2.501,143.961,57
,scope_labproxy,2.496,143.99,57
,scope_labproxy,2.569,149.883,57
,scope_labproxy,2.683,146.942,53
,scope_labproxy,2.705,149.094,57
,scope_labproxy,2.575,148.559,53
,scope_labproxy,2.424,150.036,53
,scope_labproxy,3.436,148.161,57
,scope_labproxy,2.724,144.755,57
,scope_labproxy,2.622,145.893,57
,scope_labproxy,2.668,149.447,57
,scope_labproxy,2.633,146.52,57
,scope_labproxy,2.933,142.87,57
,scope_labproxy,2.464,147.204,57
,scope_labproxy,2.663,148.961,53
,scope_labproxy,2.523,148.172,57
,scope_labproxy,2.488,150.043,57
,scope_labproxy,2.563,146.782,57
,scope_labproxy,2.588,151.854,57
,scope_labproxy,2.585,140.81,53
,scope_labproxy,2.531,142.703,57
,scope_labproxy,2.619,144.366,53
,scope_labproxy,2.624,139.947,57
,scope_labproxy,2.536,148.71,57
,scope_labproxy,3.775,148.19,57
,scope_labproxy,2.62,144.698,55
,scope_labproxy,2.537,148.418,55
,scope_labproxy,2.601,150.034,57
,scope_labproxy,2.627,147.828,57
,scope_labproxy,2.59,146.064,57
,scope_labproxy,2.522,148.093,57
,scope_labproxy,2.475,149.459,53
,scope_labproxy,2.604,148.621,53
,scope_labproxy,2.553,146.997,57
,scope_labproxy,2.632,146.087,57
,scope_labproxy,2.575,141.749,57
,scope_labproxy,2.542,143.302,57
,scope_labproxy,2.763,144.588,57
,scope_labproxy,2.469,148.952,57
