t_rel,provider,protocol,country,client_ip,user_agent,ua_os,syn_ttl,syn_window,syn_mss,syn_options,syn_wscale,tcp_os,gap_ms,tcp_rtt_ms,fingerprint_mismatch
526.327,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,106.452,90.714,mismatch
526.577,brightdata,http_connect,in,ip_22f614ccb4949a0d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,109,65535,1460,"2,1,3,1,1,4",,windows,243.874,246.973,mismatch
527.827,soax,http_connect,za,ip_571decc78368b0a3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,49,64240,1460,"2,4,8,1,3",,linux,257.566,239.564,mismatch
528.037,brightdata,http_connect,sg,ip_b6c129e5131bf3cb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,118,64240,1250,"2,1,3,1,1,4",,windows,349.518,320.515,match
528.382,brightdata,http_connect,in,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,103.349,90.864,mismatch
528.942,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,100.544,89.882,mismatch
531.165,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,101.303,89.19,mismatch
532.737,soax,http_connect,za,ip_434a0c963a8ed36c,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,45,65535,1460,"2,1,3,1,1,8,4,0,0",,linux,0.0,50.277,mismatch
533.526,brightdata,http_connect,in,ip_75cd095afa138499,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,111,64240,1460,"2,1,3,1,1,4",,windows,305.976,232.086,mismatch
533.355,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,117.68,89.286,mismatch
535.339,brightdata,http_connect,in,ip_5a91fadab08b2df2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,109,65535,1280,"2,1,3,1,1,4",,windows,330.58,250.042,match
534.687,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,125.332,100.504,mismatch
536.481,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,119.392,103.374,mismatch
538.275,soax,http_connect,za,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,46,65535,1460,"2,4,8,1,3",,linux,99.759,98.253,mismatch
540.674,brightdata,http_connect,in,ip_2942805a7dabe0bc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,111,65535,1262,"2,1,3,1,1,4",,windows,320.102,319.858,match
539.691,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,48,65535,1460,"2,4,8,1,3",,linux,114.046,91.422,mismatch
541.117,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,99.808,93.724,mismatch
542.449,brightdata,http_connect,sg,ip_a5e4b0f8912bf578,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,45,65535,1460,"2,4,8,1,3",,linux,159.999,234.504,mismatch
542.488,soax,http_connect,za,ip_762169fd09ef998e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,109,64240,1440,"2,1,3,1,1,4",,windows,294.898,215.021,match
543.693,soax,http_connect,za,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,53,65535,1460,"2,4,8,1,3",,linux,101.218,89.982,mismatch
544.400,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,49,65535,1460,"2,4,8,1,3",,linux,110.19,89.18,mismatch
547.346,brightdata,http_connect,in,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,132.058,102.759,mismatch
547.834,brightdata,http_connect,sg,ip_728b04ca15befd1c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,112,64240,1460,"2,1,3,1,1,4",,windows,286.285,223.314,mismatch
548.161,soax,http_connect,za,ip_e158c051a09066de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,111,64240,1460,"2,1,3,1,1,4",,windows,269.032,235.996,match
548.563,soax,http_connect,za,ip_1d60161420dfdd22,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,111,65535,1460,"2,1,3,1,1,4",,windows,273.944,243.996,match
549.328,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,4,8,1,3",,linux,110.992,97.498,mismatch
550.724,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,113.961,90.703,mismatch
552.955,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,131.964,89.187,mismatch
554.440,soax,http_connect,za,ip_72f3a41e7c651df4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,47,65535,1460,"2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0",,linux,328.445,230.416,mismatch
554.721,soax,http_connect,za,ip_bb182a861e8e973e,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,45,64440,1412,"2,4,8,1,3",,linux,302.52,255.195,mismatch
555.376,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,52,65535,1460,"2,4,8,1,3",,linux,106.568,90.714,mismatch
555.795,brightdata,http_connect,in,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,113.902,90.053,mismatch
558.188,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,101.941,90.017,mismatch
558.672,brightdata,http_connect,sg,ip_6f920f3e67798fa5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,4,8,1,3",,linux,164.294,225.638,mismatch
559.710,soax,http_connect,za,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,102.096,90.662,mismatch
559.874,soax,http_connect,za,ip_5b0c0821ecf8f13e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,46,65535,1412,"2,4,8,1,3",,linux,148.654,242.057,mismatch
563.036,soax,http_connect,ru,ip_f27a315ae224d442,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,54,65535,1250,"2,1,3,1,1,8,4,0,0",,linux,381.228,350.259,mismatch
562.046,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,52,65535,1460,"2,4,8,1,3",,linux,105.753,90.689,mismatch
563.470,brightdata,http_connect,sg,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,53,65535,1460,"2,4,8,1,3",,linux,101.043,89.351,mismatch
565.510,soax,http_connect,ru,ip_c4ff34e674d6cd60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,49,65535,1412,"2,1,3,1,1,8,4,0,0",,linux,253.031,239.344,mismatch
564.929,soax,http_connect,ru,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,53,65535,1460,"2,4,8,1,3",,linux,108.012,90.591,mismatch
566.666,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,101.244,89.268,mismatch
568.974,soax,http_connect,ru,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,102.693,90.668,mismatch
569.247,soax,http_connect,ru,ip_ad383f109c615eb5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,111,64240,1460,"2,1,3,1,1,4",,windows,290.927,227.846,match
