t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,184.95,199.942,51,oxylabs,socks5,gb
,us,50.714,82.914,48,oxylabs,socks5,gb
,us,156.588,83.279,53,oxylabs,socks5,gb
,us,36.164,147.167,50,oxylabs,socks5,gb
,us,158.203,103.879,52,oxylabs,socks5,gb
,us,158.253,106.308,52,oxylabs,socks5,gb
,us,159.951,145.687,50,oxylabs,socks5,gb
,us,32.047,100.965,46,oxylabs,socks5,gb
,us,48.43,151.81,50,oxylabs,socks5,gb
,us,44.565,102.165,52,oxylabs,socks5,gb
,us,195.459,150.003,50,oxylabs,socks5,gb
,us,159.65,114.207,51,oxylabs,socks5,gb
,us,161.216,94.029,54,oxylabs,socks5,gb
,us,30.461,89.279,41,oxylabs,socks5,gb
,us,33.743,104.729,52,oxylabs,socks5,gb
,us,398.417,157.685,50,oxylabs,socks5,gb
,us,48.28,154.065,50,oxylabs,socks5,gb
,us,34.269,240.041,52,oxylabs,socks5,gb
,us,50.82,170.115,49,oxylabs,socks5,gb
,us,39.526,101.978,51,oxylabs,socks5,gb
,us,157.467,138.162,52,oxylabs,socks5,gb
,us,166.577,98.515,52,oxylabs,socks5,gb
,us,29.91,95.068,51,oxylabs,socks5,gb
,us,187.78,139.914,49,oxylabs,socks5,gb
,us,21.003,80.969,54,oxylabs,socks5,gb
,us,221.002,171.821,48,oxylabs,socks5,gb
,us,31.768,97.453,52,oxylabs,socks5,gb
,us,31.064,86.515,52,oxylabs,socks5,gb
,us,28.492,93.95,52,oxylabs,socks5,gb
,us,176.793,159.144,50,oxylabs,socks5,gb
,us,130.542,111.996,54,oxylabs,socks5,gb
,us,156.122,95.721,53,oxylabs,socks5,gb
,us,30.148,91.808,50,oxylabs,socks5,gb
,us,158.256,101.426,52,oxylabs,socks5,gb
,us,24.007,83.949,54,oxylabs,socks5,gb
,us,170.077,101.953,51,oxylabs,socks5,gb
,us,160.024,110.686,51,oxylabs,socks5,gb
,us,23.908,105.935,52,oxylabs,socks5,gb
,us,164.341,109.96,50,oxylabs,socks5,gb
,us,157.99,91.651,52,oxylabs,socks5,gb
,us,36.008,147.97,49,oxylabs,socks5,gb
,us,867.209,107.127,52,oxylabs,socks5,gb
,us,31.33,90.886,44,oxylabs,socks5,gb
,us,155.281,82.332,48,oxylabs,socks5,gb
,us,161.359,105.766,52,oxylabs,socks5,gb
,us,24.382,96.579,50,oxylabs,socks5,de
,us,35.793,87.881,54,oxylabs,socks5,de
,us,347.779,102.854,46,oxylabs,socks5,de
,us,284.99,109.154,47,oxylabs,socks5,de
,us,518.355,107.213,52,oxylabs,socks5,de
,us,323.199,112.379,52,oxylabs,socks5,de
,us,160.219,128.441,50,oxylabs,socks5,de
,us,156.552,114.387,50,oxylabs,socks5,de
,us,137.443,107.849,49,oxylabs,socks5,de
,us,145.9,78.089,51,oxylabs,socks5,de
,us,166.846,93.345,50,oxylabs,socks5,de
,us,164.577,110.363,51,oxylabs,socks5,de
,us,161.237,104.384,52,oxylabs,socks5,de
,us,138.507,107.669,55,oxylabs,socks5,de
,us,169.545,110.232,50,oxylabs,socks5,de
,us,141.007,151.762,50,oxylabs,socks5,de
,us,195.166,149.776,42,oxylabs,socks5,de
,us,266.033,113.234,48,oxylabs,socks5,de
,us,238.561,121.133,51,oxylabs,socks5,de
,us,180.594,117.258,48,oxylabs,socks5,de
,us,138.192,105.088,50,oxylabs,socks5,de
,us,180.479,118.834,55,oxylabs,socks5,de
,us,198.34,120.196,54,oxylabs,socks5,de
,us,266.074,241.868,52,oxylabs,socks5,de
,us,243.553,118.223,55,oxylabs,socks5,de
,us,183.784,220.942,50,oxylabs,socks5,de
,us,164.434,121.078,51,oxylabs,socks5,de
,us,144.668,111.815,44,oxylabs,socks5,de
,us,140.162,100.589,51,oxylabs,socks5,de
,us,170.298,119.944,55,oxylabs,socks5,de
,us,178.523,112.485,55,oxylabs,socks5,de
,us,178.505,115.226,55,oxylabs,socks5,de
,us,140.442,121.666,50,oxylabs,socks5,de
,us,184.022,106.334,55,oxylabs,socks5,de
,us,231.297,272.632,53,oxylabs,socks5,de
,us,284.012,128.19,47,oxylabs,socks5,de
,us,157.537,97.957,50,oxylabs,socks5,de
,us,149.034,109.678,55,oxylabs,socks5,de
,us,167.603,110.349,43,oxylabs,socks5,de
,us,153.838,98.97,51,oxylabs,socks5,de
,us,224.805,150.899,51,oxylabs,socks5,de
,us,143.452,95.887,51,oxylabs,socks5,de
,us,147.29,151.184,55,oxylabs,socks5,de
,us,137.506,126.465,48,oxylabs,socks5,de
,us,143.719,110.74,55,oxylabs,socks5,de
,us,158.641,103.711,51,oxylabs,socks5,de
,us,163.028,119.854,44,oxylabs,socks5,de
,us,133.807,126.433,50,oxylabs,socks5,de
,us,144.871,99.669,50,oxylabs,socks5,de
,us,159.532,109.454,49,oxylabs,socks5,de
,us,615.986,141.589,46,oxylabs,socks5,fr
,us,151.504,100.96,46,oxylabs,socks5,fr
,us,155.932,107.12,52,oxylabs,socks5,fr
,us,155.016,96.916,48,oxylabs,socks5,fr
,us,151.985,83.952,49,oxylabs,socks5,fr
,us,144.259,90.232,51,oxylabs,socks5,fr
,us,159.988,105.478,49,oxylabs,socks5,fr
,us,159.52,94.966,49,oxylabs,socks5,fr
,us,148.034,88.987,51,oxylabs,socks5,fr
,us,173.714,105.589,52,oxylabs,socks5,fr
,us,141.484,96.489,52,oxylabs,socks5,fr
,us,161.86,104.196,52,oxylabs,socks5,fr
,us,150.036,86.67,49,oxylabs,socks5,fr
,us,182.66,103.863,52,oxylabs,socks5,fr
,us,92.116,84.916,243,oxylabs,socks5,fr
,us,95.791,92.937,243,oxylabs,socks5,fr
,us,153.625,95.905,52,oxylabs,socks5,fr
,us,166.996,105.973,51,oxylabs,socks5,fr
,us,159.15,92.578,51,oxylabs,socks5,fr
,us,163.991,94.913,52,oxylabs,socks5,fr
,us,167.248,99.912,48,oxylabs,socks5,fr
,us,211.932,196.023,49,oxylabs,socks5,fr
,us,169.915,98.639,51,oxylabs,socks5,fr
,us,159.623,97.852,49,oxylabs,socks5,fr
,us,180.082,104.267,51,oxylabs,socks5,fr
,us,149.502,89.434,52,oxylabs,socks5,fr
,us,155.115,90.56,52,oxylabs,socks5,fr
,us,150.409,94.417,52,oxylabs,socks5,fr
,us,151.916,91.993,50,oxylabs,socks5,fr
,us,159.894,97.13,52,oxylabs,socks5,fr
,us,147.313,95.751,52,oxylabs,socks5,fr
,us,167.049,102.662,52,oxylabs,socks5,fr
,us,194.997,94.972,52,oxylabs,socks5,fr
,us,167.012,92.952,52,oxylabs,socks5,fr
,us,92.385,84.697,243,oxylabs,socks5,fr
,us,178.555,98.823,52,oxylabs,socks5,fr
,us,159.796,92.113,50,oxylabs,socks5,fr
,us,160.012,103.995,47,oxylabs,socks5,fr
,us,162.347,89.006,53,oxylabs,socks5,fr
,us,154.626,124.454,51,oxylabs,socks5,fr
,us,152.51,84.964,52,oxylabs,socks5,fr
,us,152.235,88.937,52,oxylabs,socks5,fr
,us,195.037,83.962,51,oxylabs,socks5,fr
,us,168.24,96.253,50,oxylabs,socks5,fr
,us,144.994,81.978,53,oxylabs,socks5,fr
,us,160.524,98.926,49,oxylabs,socks5,fr
,us,164.093,95.872,51,oxylabs,socks5,fr
,us,156.569,89.938,47,oxylabs,socks5,fr
,us,158.983,97.492,49,oxylabs,socks5,fr
,us,161.226,100.336,51,oxylabs,socks5,za
,us,164.048,79.94,53,oxylabs,socks5,za
,us,317.592,253.467,47,oxylabs,socks5,za
,us,399.922,444.587,50,oxylabs,socks5,za
